# timestamp,status,avbikes,avstamps,totstamps
1412200093,1,26,1,42
1412200340,1,27,0,42
1412200520,1,27,0,42
1412200674,1,27,0,42
1412200695,1,26,1,42
1412200912,1,26,1,42
1412201515,1,26,1,42
1412201689,1,25,2,42
1412201895,1,26,1,42
1412202121,1,26,1,42
1412202133,1,26,1,42
1412202736,1,26,1,42
1412202927,1,27,0,42
1412203368,1,27,0,42
1412203406,1,26,1,42
1412203857,1,26,1,42
1412203887,1,25,2,42
1412204229,1,26,1,42
1412204439,1,27,0,42
1412204550,1,26,1,42
1412205081,1,26,1,42
1412205203,1,27,0,42
1412205459,1,27,0,42
1412205524,1,27,0,42
1412205653,1,27,0,42
1412205691,1,25,2,42
1412206183,1,25,2,42
1412206212,1,24,3,42
1412206501,1,25,2,42
1412206722,1,25,2,42
1412206758,1,25,2,42
1412206837,1,25,2,42
1412206901,1,25,2,42
1412207504,1,25,2,42
1412207754,1,25,2,42
1412207810,1,25,2,42
1412207877,1,25,2,42
1412207935,1,18,9,42
1412207988,1,18,9,42
1412208052,1,12,15,42
1412208113,1,10,17,42
1412208717,1,10,17,42
1412209320,1,10,17,42
1412209381,1,10,17,42
1412209383,1,9,18,42
1412209987,1,9,18,42
1412210590,1,9,18,42
1412211036,1,10,17,42
1412211175,1,10,17,42
1412211227,1,10,17,42
1412211289,1,10,17,42
1412211892,1,10,17,42
1412212496,1,10,17,42
1412212622,1,10,17,42
1412212769,1,10,17,42
1412212877,1,10,17,42
1412212961,1,10,17,42
1412213060,1,10,17,42
1412213663,1,10,17,42
1412213719,1,9,18,42
1412214322,1,9,18,42
1412214926,1,9,18,42
1412215529,1,9,18,42
1412215619,1,10,17,42
1412216223,1,10,17,42
1412216784,1,10,17,42
1412216934,1,11,16,42
1412216985,1,11,16,42
1412217125,1,11,16,42
1412217252,1,11,16,42
1412217718,1,10,17,42
1412217839,1,10,17,42
1412218443,1,10,17,42
1412219046,1,10,17,42
1412219650,1,10,17,42
1412220253,1,10,17,42
1412220857,1,10,17,42
1412221461,1,10,17,42
1412222064,1,10,17,42
1412222268,1,11,16,42
1412222872,1,11,16,42
1412223475,1,11,16,42
1412224079,1,11,16,42
1412224245,1,11,16,42
1412224314,1,10,17,42
1412224904,1,10,17,42
1412224944,1,9,18,42
1412225183,1,8,19,42
1412225786,1,8,19,42
1412226390,1,8,19,42
1412226587,1,7,20,42
1412226833,1,6,21,42
1412227437,1,6,21,42
1412227561,1,6,21,42
1412227564,1,7,20,42
1412228052,1,6,21,42
1412228639,1,5,22,42
1412228752,1,6,21,42
1412228810,1,6,21,42
1412228863,1,5,22,42
1412229467,1,5,22,42
1412229983,1,6,21,42
1412230117,1,5,22,42
1412230363,1,4,23,42
1412230554,1,6,21,42
1412230783,1,7,20,42
1412230941,1,6,21,42
1412231278,1,5,22,42
1412231299,1,4,23,42
1412231548,1,5,22,42
1412231635,1,4,23,42
1412231690,1,5,22,42
1412231754,1,3,24,42
1412231798,1,5,22,42
1412231878,1,6,21,42
1412231999,1,6,21,42
1412232002,1,5,22,42
1412232118,1,5,22,42
1412232159,1,6,21,42
1412232189,1,5,22,42
1412232377,1,3,24,42
1412232502,1,4,23,42
1412232557,1,3,24,42
1412232665,1,4,23,42
1412232775,1,4,23,42
1412232834,1,5,22,42
1412232889,1,4,23,42
1412233000,1,5,22,42
1412233096,1,6,21,42
1412233194,1,7,20,42
1412233261,1,7,20,42
1412233305,1,6,21,42
1412233415,1,5,22,42
1412233501,1,5,22,42
1412233504,1,5,22,42
1412233660,1,4,23,42
1412233732,1,6,21,42
1412233800,1,4,23,42
1412233832,1,2,25,42
1412233866,1,3,24,42
1412233953,1,3,24,42
1412233994,1,2,25,42
1412234159,1,3,24,42
1412234172,1,2,25,42
1412234694,1,3,24,42
1412234847,1,2,25,42
1412234911,1,3,24,42
1412234965,1,4,23,42
1412235039,1,6,21,42
1412235317,1,7,20,42
1412235631,1,8,19,42
1412235777,1,8,19,42
1412235837,1,5,22,42
1412235873,1,6,21,42
1412236075,1,7,20,42
1412236409,1,8,19,42
1412236741,1,8,19,42
1412236768,1,10,17,42
1412236941,1,9,18,42
1412237417,1,10,17,42
1412237541,1,9,18,42
1412237621,1,8,19,42
1412237744,1,7,20,42
1412237968,1,8,19,42
1412238177,1,9,18,42
1412238193,1,10,17,42
1412238254,1,11,16,42
1412238716,1,10,17,42
1412238778,1,10,17,42
1412238792,1,9,18,42
1412239050,1,8,19,42
