# timestamp,status,avbikes,avstamps,totstamps
1417800169,1,19,23,42
1417800210,1,20,22,42
1417800278,1,19,23,42
1417800358,1,20,22,42
1417800481,1,21,21,42
1417800589,1,20,22,42
1417800630,1,19,23,42
1417800926,1,20,22,42
1417801001,1,20,21,42
1417801054,1,22,20,42
1417801113,1,23,19,42
1417801309,1,22,20,42
1417801363,1,20,22,42
1417801456,1,21,21,42
1417801669,1,21,21,42
1417801688,1,21,21,42
1417801909,1,21,21,42
1417801936,1,20,22,42
1417802388,1,20,22,42
1417802391,1,21,21,42
1417802470,1,22,20,42
1417802568,1,22,20,42
1417802627,1,22,20,42
1417802667,1,18,24,42
1417803012,1,19,23,42
1417803056,1,20,22,42
1417803455,1,19,23,42
1417803510,1,20,22,42
1417803547,1,21,21,42
1417803691,1,22,20,42
1417803755,1,23,19,42
1417803871,1,25,17,42
1417803934,1,24,18,42
1417804128,1,24,18,42
1417804163,1,23,19,42
1417804285,1,22,20,42
1417804488,1,22,20,42
1417804491,1,23,19,42
1417804757,1,24,18,42
1417804829,1,25,17,42
1417804903,1,25,17,42
1417804920,1,24,18,42
1417805027,1,25,17,42
1417805631,1,25,17,42
1417805925,1,26,16,42
1417805989,1,24,18,42
1417805990,1,24,17,42
1417806104,1,24,17,42
1417806149,1,25,16,42
1417806752,1,25,17,42
1417806795,1,26,16,42
1417806921,1,27,15,42
1417807055,1,26,16,42
1417807247,1,27,15,42
1417807297,1,25,17,42
1417807405,1,26,16,42
1417807441,1,27,15,42
1417807547,1,27,15,42
1417807653,1,27,15,42
1417807779,1,27,15,42
1417807809,1,25,17,42
1417808079,1,28,14,42
1417808327,1,28,14,42
1417808373,1,29,13,42
1417808396,1,28,14,42
1417808978,1,28,14,42
1417808999,1,27,15,42
1417809094,1,26,16,42
1417809654,1,27,15,42
1417809745,1,28,14,42
1417809929,1,28,14,42
1417809951,1,27,15,42
1417810554,1,27,15,42
1417810654,1,27,15,42
1417810725,1,25,17,42
1417810757,1,24,18,42
1417810827,1,23,19,42
1417810940,1,24,18,42
1417811014,1,24,18,42
1417811030,1,23,19,42
1417811317,1,24,18,42
1417811341,1,25,17,42
1417811508,1,25,17,42
1417811512,1,26,16,42
1417811725,1,27,15,42
1417812125,1,28,14,42
1417812464,1,28,14,42
1417812511,1,27,15,42
1417812577,1,27,15,42
1417812642,1,25,17,42
1417812790,1,27,15,42
1417813067,1,27,15,42
1417813101,1,26,16,42
1417813705,1,26,16,42
1417814309,1,26,16,42
1417814554,1,27,15,42
1417814984,1,27,15,42
1417815019,1,26,16,42
1417815435,1,27,15,42
1417815973,1,29,13,42
1417816577,1,29,13,42
1417817181,1,29,13,42
1417817256,1,29,13,42
1417817279,1,28,14,42
1417817504,1,28,14,42
1417817541,1,27,15,42
1417817866,1,26,16,42
1417818470,1,26,16,42
1417818621,1,27,15,42
1417819225,1,27,15,42
1417819295,1,28,14,42
1417819743,1,29,13,42
1417820101,1,30,12,42
1417820478,1,31,11,42
1417820713,1,32,10,42
1417820850,1,31,11,42
1417820930,1,30,11,42
1417820957,1,30,12,42
1417821042,1,29,12,42
1417821163,1,31,10,42
1417821325,1,32,9,42
1417821374,1,33,8,42
1417821828,1,35,7,42
1417821861,1,35,7,42
1417821891,1,34,8,42
1417822064,1,33,9,42
1417822235,1,32,10,42
1417822536,1,31,11,42
1417822609,1,32,10,42
1417823212,1,32,10,42
1417823816,1,32,10,42
1417824420,1,32,10,42
1417825024,1,32,10,42
1417825241,1,33,9,42
1417825784,1,32,10,42
1417825822,1,33,9,42
1417826019,1,34,8,42
1417826325,1,35,7,42
1417826389,1,35,7,42
1417826715,1,36,6,42
1417826914,1,37,5,42
1417827218,1,37,5,42
1417827251,1,36,6,42
1417827881,1,37,5,42
1417828116,1,37,5,42
1417828168,1,36,6,42
1417828215,1,34,8,42
1417828298,1,33,9,42
1417828902,1,33,9,42
1417828957,1,33,9,42
1417829000,1,32,10,42
1417829436,1,31,11,42
1417829870,1,32,10,42
1417830094,1,32,10,42
1417830141,1,31,11,42
1417830211,1,30,12,42
1417830350,1,30,12,42
1417830401,1,29,13,42
1417830703,1,28,14,42
1417830816,1,27,15,42
1417830995,1,27,15,42
1417831015,1,26,16,42
1417831619,1,26,16,42
1417832235,1,26,16,42
1417832367,1,26,16,42
1417832982,1,27,15,42
1417833586,1,27,15,42
1417833682,1,28,14,42
1417834237,1,29,13,42
1417834268,1,29,13,42
1417834596,1,28,14,42
1417834727,1,30,12,42
1417834739,1,30,12,42
1417835342,1,30,12,42
1417835946,1,30,12,42
1417836507,1,30,12,42
1417836531,1,29,13,42
1417836822,1,29,13,42
1417836845,1,28,14,42
1417837449,1,28,14,42
1417837561,1,29,13,42
1417838165,1,29,13,42
1417838768,1,29,13,42
1417839372,1,29,13,42
1417839975,1,29,13,42
1417840579,1,29,13,42
1417840809,1,30,12,42
1417841413,1,30,12,42
1417842017,1,30,12,42
1417842621,1,30,12,42
1417842939,1,31,11,42
1417843544,1,31,11,42
1417844147,1,31,11,42
1417844751,1,31,11,42
1417845354,1,31,11,42
1417845769,1,30,12,42
1417846372,1,30,12,42
1417846574,1,31,11,42
1417846886,1,31,11,42
1417846911,1,30,12,42
1417847515,1,30,12,42
1417847753,1,30,12,42
1417848014,1,31,11,42
1417848164,1,31,11,42
1417848226,1,30,12,42
1417848257,1,30,12,42
