# timestamp,status,avbikes,avstamps,totstamps
1417600189,1,2,18,20
1417600191,1,1,19,20
1417600276,1,0,20,20
1417600880,1,0,20,20
1417600970,1,1,19,20
1417601405,1,2,18,20
1417602043,1,2,18,20
1417602069,1,1,19,20
1417602658,1,2,18,20
1417602878,1,2,18,20
1417602909,1,1,19,20
1417603096,1,2,18,20
1417603501,1,3,17,20
1417604106,1,3,17,20
1417604712,1,3,17,20
1417605110,1,3,17,20
1417605112,1,4,16,20
1417605765,1,5,15,20
1417606002,1,4,16,20
1417606608,1,4,16,20
1417606659,1,5,15,20
1417607265,1,5,15,20
1417607385,1,7,13,20
1417607870,1,7,13,20
1417607872,1,6,14,20
1417608478,1,6,14,20
1417609052,1,6,14,20
1417609084,1,5,15,20
1417609689,1,5,15,20
1417609906,1,6,14,20
1417610028,1,5,15,20
1417610633,1,5,15,20
1417610699,1,6,14,20
1417611304,1,6,14,20
1417611623,1,7,13,20
1417611703,1,8,12,20
1417612277,1,9,11,20
1417612497,1,10,10,20
1417612625,1,11,9,20
1417612689,1,12,8,20
1417613294,1,12,8,20
1417613395,1,13,7,20
1417613727,1,13,7,20
1417613769,1,15,5,20
1417613949,1,16,4,20
1417614166,1,17,3,20
1417614196,1,17,3,20
1417614424,1,18,2,20
1417614525,1,18,2,20
1417614547,1,17,3,20
1417614769,1,16,4,20
1417614948,1,16,4,20
1417614993,1,17,3,20
1417615060,1,18,2,20
1417615091,1,19,1,20
1417615696,1,19,1,20
1417615964,1,19,1,20
1417615997,1,18,2,20
1417616379,1,18,2,20
1417616410,1,17,3,20
1417616869,1,17,3,20
1417616872,1,16,4,20
1417617202,1,15,5,20
1417617512,1,14,6,20
1417617798,1,14,6,20
1417617868,1,13,7,20
1417617900,1,12,8,20
1417618506,1,12,8,20
1417618598,1,11,9,20
1417618875,1,11,9,20
1417618940,1,10,10,20
1417618987,1,9,11,20
1417619490,1,8,12,20
1417619595,1,9,11,20
1417619675,1,10,10,20
1417619866,1,11,9,20
1417619871,1,10,10,20
1417620510,1,9,11,20
1417621114,1,9,11,20
1417621366,1,9,11,20
1417621392,1,8,12,20
1417621999,1,8,12,20
1417622112,1,9,11,20
1417622717,1,9,11,20
