# timestamp,status,avbikes,avstamps,totstamps
1412700450,1,3,17,20
1412701014,1,3,17,20
1412701488,1,2,18,20
1412701882,1,3,17,20
1412702104,1,4,16,20
1412702557,1,4,16,20
1412702603,1,3,17,20
1412702686,1,4,16,20
1412702970,1,4,16,20
1412703003,1,3,17,20
1412703352,1,4,16,20
1412703656,1,3,17,20
1412704260,1,3,17,20
1412704583,1,4,16,20
1412704715,1,3,17,20
1412705320,1,3,17,20
1412705924,1,4,16,20
1412706353,1,4,16,20
1412706377,1,3,17,20
1412706981,1,3,17,20
1412707376,1,4,16,20
1412707415,1,4,16,20
1412707553,1,4,16,20
1412707593,1,3,17,20
1412708034,1,3,17,20
1412708048,1,2,18,20
1412708150,1,1,19,20
1412708394,1,1,19,20
1412708998,1,1,19,20
1412709281,1,2,18,20
1412709599,1,3,17,20
1412709714,1,4,16,20
1412709967,1,5,15,20
1412710200,1,5,15,20
1412710234,1,4,16,20
1412710839,1,4,16,20
1412711098,1,3,17,20
1412711130,1,2,18,20
1412711689,1,3,17,20
1412711861,1,4,16,20
1412711950,1,5,15,20
1412712292,1,5,15,20
1412712318,1,4,16,20
1412712567,1,3,17,20
1412712688,1,4,16,20
1412712974,1,5,15,20
1412713025,1,6,14,20
1412713579,1,7,13,20
1412714184,1,7,13,20
1412714788,1,7,13,20
1412715204,1,8,12,20
1412715808,1,8,12,20
1412716413,1,8,12,20
1412717017,1,8,12,20
1412717621,1,8,12,20
1412718226,1,8,12,20
1412718830,1,8,12,20
1412718952,1,9,11,20
1412719557,1,9,11,20
1412720161,1,9,11,20
1412720283,1,10,10,20
1412720887,1,10,10,20
1412721492,1,10,10,20
1412722096,1,10,10,20
1412722700,1,10,10,20
1412723304,1,10,10,20
1412723722,1,11,9,20
1412724326,1,11,9,20
1412724931,1,11,9,20
1412725535,1,11,9,20
1412725673,1,12,8,20
1412726278,1,12,8,20
1412726882,1,12,8,20
1412727486,1,12,8,20
1412728090,1,12,8,20
1412728694,1,12,8,20
1412729299,1,12,8,20
1412729903,1,12,8,20
1412730452,1,13,7,20
1412731056,1,13,7,20
1412731661,1,13,7,20
1412732264,1,13,7,20
1412732869,1,13,7,20
1412733473,1,13,7,20
1412734077,1,13,7,20
1412734681,1,13,7,20
1412735285,1,13,7,20
1412735890,1,13,7,20
1412736495,1,13,7,20
1412736926,1,13,7,20
1412737531,1,13,7,20
1412738135,1,13,7,20
1412738739,1,13,7,20
1412739343,1,13,7,20
1412739947,1,13,7,20
1412740552,1,13,7,20
1412741156,1,13,7,20
1412741761,1,13,7,20
1412742364,1,13,7,20
1412742969,1,13,7,20
1412743573,1,13,7,20
1412744177,1,13,7,20
1412744782,1,13,7,20
1412745386,1,13,7,20
1412746009,1,12,8,20
1412746469,1,11,9,20
1412747025,1,11,9,20
1412747071,1,10,10,20
1412747676,1,10,10,20
1412747859,1,11,9,20
1412748272,1,11,9,20
1412748333,1,11,9,20
1412748396,1,11,9,20
1412748442,1,10,10,20
1412748523,1,10,10,20
1412748549,1,9,11,20
1412748649,1,9,11,20
1412748693,1,8,12,20
1412749297,1,8,12,20
1412749541,1,7,13,20
1412750145,1,7,13,20
1412750219,1,7,13,20
1412750247,1,5,15,20
1412750394,1,5,15,20
1412750448,1,5,15,20
1412750516,1,3,17,20
1412750688,1,2,18,20
