# timestamp,status,avbikes,avstamps,totstamps
1415300239,1,7,13,20
1415300286,1,6,14,20
1415300890,1,6,14,20
1415301279,1,6,14,20
1415301335,1,5,15,20
1415301640,1,5,15,20
1415301699,1,4,16,20
1415301922,1,4,16,20
1415301953,1,3,17,20
1415302173,1,3,17,20
1415302219,1,2,18,20
1415302824,1,2,18,20
1415303428,1,2,18,20
1415303691,1,2,18,20
1415303759,1,3,17,20
1415303911,1,3,17,20
1415303962,1,3,17,20
1415304302,1,4,16,20
1415304669,1,5,15,20
1415304939,1,6,14,20
1415305006,1,7,13,20
1415305118,1,7,13,20
1415305188,1,6,14,20
1415305190,1,7,13,20
1415305417,1,7,13,20
1415305444,1,6,14,20
1415305783,1,7,13,20
1415306330,1,7,13,20
1415306372,1,9,11,20
1415306503,1,10,10,20
1415307107,1,10,10,20
1415307230,1,9,11,20
1415307834,1,9,11,20
1415308438,1,9,11,20
1415308546,1,10,10,20
1415308729,1,11,9,20
1415309079,1,10,10,20
1415309328,1,9,11,20
1415309932,1,9,11,20
1415310139,1,10,10,20
1415310744,1,10,10,20
1415311178,1,11,9,20
1415311489,1,12,8,20
1415312093,1,12,8,20
1415312209,1,13,7,20
1415312405,1,14,6,20
1415312682,1,15,5,20
1415312796,1,15,5,20
1415312854,1,13,7,20
1415313087,1,12,8,20
1415313692,1,12,8,20
1415314296,1,12,8,20
1415314901,1,12,8,20
1415315505,1,12,8,20
1415316109,1,12,8,20
1415316713,1,12,8,20
1415317317,1,12,8,20
1415317922,1,12,8,20
1415318340,1,13,7,20
1415318945,1,13,7,20
1415319550,1,13,7,20
1415319830,1,13,7,20
1415319832,1,14,6,20
1415320436,1,14,6,20
1415320878,1,15,5,20
1415321482,1,15,5,20
1415322086,1,15,5,20
1415322691,1,15,5,20
1415323291,1,16,4,20
1415323894,1,16,4,20
1415324499,1,16,4,20
1415325103,1,16,4,20
1415325707,1,16,4,20
1415326312,1,16,4,20
1415326916,1,16,4,20
1415327521,1,16,4,20
1415328125,1,16,4,20
1415328730,1,16,4,20
1415329334,1,16,4,20
1415329938,1,16,4,20
1415330543,1,16,4,20
1415331147,1,16,4,20
1415331751,1,16,4,20
1415332388,1,16,4,20
1415332508,1,16,4,20
1415333113,1,16,4,20
1415333717,1,16,4,20
1415334321,1,16,4,20
1415334926,1,16,4,20
1415335530,1,16,4,20
1415335786,1,17,3,20
1415336020,1,18,2,20
1415336624,1,18,2,20
1415337228,1,18,2,20
1415337833,1,18,2,20
1415338438,1,18,2,20
1415339043,1,18,2,20
1415339647,1,18,2,20
1415340251,1,18,2,20
1415340581,1,19,1,20
1415341185,1,19,1,20
1415341790,1,19,1,20
1415342394,1,19,1,20
1415342998,1,19,1,20
1415343228,1,18,2,20
1415343881,1,18,2,20
1415343908,1,17,3,20
1415344512,1,17,3,20
1415345017,1,16,4,20
1415345257,1,15,5,20
1415345388,1,14,6,20
1415345510,1,14,6,20
1415345512,1,13,7,20
1415346030,1,13,7,20
1415346103,1,11,9,20
1415346205,1,10,10,20
1415346288,1,9,11,20
1415346893,1,9,11,20
1415347063,1,8,12,20
1415347667,1,8,12,20
1415347714,1,8,12,20
1415347745,1,7,13,20
1415348349,1,7,13,20
1415348430,1,7,13,20
1415348490,1,6,14,20
1415348521,1,5,15,20
1415349030,1,5,15,20
1415349063,1,4,16,20
1415349470,1,4,16,20
1415349473,1,3,17,20
1415349706,1,2,18,20
1415350050,1,2,18,20
1415350120,1,0,20,20
1415350725,1,0,20,20
1415351333,1,0,20,20
1415351423,1,1,19,20
1415352027,1,1,19,20
1415352631,1,1,19,20
1415353236,1,1,19,20
1415353840,1,1,19,20
1415354079,1,1,19,20
1415354108,1,0,20,20
1415354712,1,0,20,20
1415355320,1,0,20,20
1415355702,1,1,19,20
1415356307,1,1,19,20
1415356913,1,1,19,20
1415357005,1,1,19,20
1415357038,1,0,20,20
1415357642,1,0,20,20
1415358247,1,0,20,20
1415358851,1,0,20,20
1415359456,1,0,20,20
1415360061,1,0,20,20
1415360666,1,0,20,20
1415361004,1,1,19,20
1415361608,1,1,19,20
1415362212,1,1,19,20
1415362645,1,2,18,20
1415363077,1,1,19,20
1415363624,1,2,18,20
1415364227,1,2,18,20
1415364403,1,2,18,20
1415364435,1,1,19,20
1415365040,1,1,19,20
1415365188,1,0,20,20
1415365792,1,0,20,20
1415366138,1,1,19,20
1415366742,1,1,19,20
1415367100,1,2,18,20
1415367704,1,2,18,20
1415367961,1,3,17,20
1415368024,1,4,16,20
1415368628,1,4,16,20
1415368790,1,5,15,20
1415368826,1,5,15,20
1415368907,1,4,16,20
1415369511,1,4,16,20
1415370119,1,4,16,20
1415370226,1,4,16,20
1415370271,1,3,17,20
1415370875,1,3,17,20
1415371001,1,4,16,20
1415371395,1,4,16,20
1415371474,1,3,16,20
1415371510,1,3,17,20
1415372148,1,2,18,20
1415372753,1,2,18,20
1415373203,1,3,17,20
1415373814,1,3,17,20
1415374418,1,3,17,20
1415374718,1,2,18,20
1415374895,1,3,17,20
1415375013,1,3,17,20
1415375040,1,2,18,20
1415375644,1,2,18,20
1415375965,1,2,18,20
1415375997,1,1,19,20
1415376601,1,1,19,20
1415376806,1,2,18,20
1415377301,1,3,17,20
1415377466,1,4,16,20
1415378070,1,4,16,20
1415378134,1,5,15,20
1415378559,1,5,15,20
1415379164,1,5,15,20
1415379392,1,4,16,20
1415379416,1,3,17,20
1415380020,1,3,17,20
1415380624,1,3,17,20
1415380677,1,4,16,20
1415381282,1,4,16,20
1415381427,1,5,15,20
1415381759,1,6,14,20
1415382226,1,7,13,20
1415382678,1,8,12,20
1415383282,1,8,12,20
1415383429,1,8,12,20
1415383432,1,7,13,20
1415383966,1,6,14,20
1415384571,1,6,14,20
1415384985,1,6,14,20
1415385006,1,5,15,20
1415385588,1,5,15,20
1415385591,1,4,16,20
1415386195,1,4,16,20
1415386799,1,4,16,20
1415387404,1,4,16,20
1415387722,1,3,17,20
1415388327,1,3,17,20
1415388370,1,4,16,20
1415388560,1,4,16,20
1415388602,1,3,17,20
1415388707,1,3,17,20
1415388977,1,4,16,20
1415389350,1,5,15,20
1415389804,1,6,14,20
1415390268,1,6,14,20
1415390270,1,5,15,20
1415390876,1,5,15,20
1415391459,1,6,14,20
1415391496,1,6,14,20
1415391541,1,6,14,20
1415391609,1,6,14,20
1415391669,1,5,15,20
1415392273,1,5,15,20
1415392878,1,5,15,20
1415393197,1,4,16,20
1415393802,1,4,16,20
1415394167,1,3,17,20
1415394338,1,2,18,20
1415394379,1,3,17,20
1415394984,1,3,17,20
1415395206,1,4,16,20
1415395811,1,4,16,20
1415396081,1,4,16,20
1415396107,1,3,17,20
1415396712,1,3,17,20
1415397316,1,3,17,20
1415397921,1,3,17,20
1415398525,1,3,17,20
1415399019,1,4,16,20
1415399624,1,4,16,20
