# timestamp,status,avbikes,avstamps,totstamps
1414700264,1,1,19,20
1414700316,1,2,18,20
1414700360,1,2,18,20
1414700989,1,1,19,20
1414701092,1,2,18,20
1414701201,1,3,17,20
1414701615,1,2,18,20
1414702199,1,3,17,20
1414702803,1,3,17,20
1414702994,1,3,17,20
1414703040,1,2,18,20
1414703470,1,3,17,20
1414703914,1,4,16,20
1414704017,1,4,16,20
1414704065,1,3,17,20
1414704669,1,3,17,20
1414704812,1,5,15,20
1414705416,1,5,15,20
1414705472,1,5,15,20
1414705503,1,4,16,20
1414706107,1,4,16,20
1414706421,1,5,15,20
1414707026,1,5,15,20
1414707630,1,5,15,20
1414708234,1,5,15,20
1414708716,1,8,12,20
1414709320,1,8,12,20
1414709446,1,8,12,20
1414709471,1,8,12,20
1414709562,1,7,13,20
1414710167,1,7,13,20
1414710685,1,8,12,20
1414710716,1,9,11,20
1414711320,1,9,11,20
1414711924,1,9,11,20
1414712528,1,9,11,20
1414713133,1,9,11,20
1414713560,1,10,10,20
1414714164,1,10,10,20
1414714768,1,10,10,20
1414714944,1,11,9,20
1414715371,1,12,8,20
1414715406,1,12,8,20
1414716010,1,12,8,20
1414716615,1,12,8,20
1414717219,1,12,8,20
1414717391,1,13,7,20
1414717996,1,14,6,20
1414718600,1,14,6,20
1414719204,1,14,6,20
1414719808,1,14,6,20
1414720413,1,14,6,20
1414721017,1,14,6,20
1414721621,1,14,6,20
1414722225,1,14,6,20
1414722314,1,14,6,20
1414722360,1,13,7,20
1414722964,1,13,7,20
1414723568,1,13,7,20
1414724172,1,13,7,20
1414724560,1,14,6,20
1414724962,1,13,7,20
1414725566,1,13,7,20
1414726171,1,13,7,20
1414726223,1,14,6,20
1414726447,1,14,6,20
1414727052,1,14,6,20
1414727677,1,14,6,20
1414727722,1,14,6,20
1414728326,1,14,6,20
1414728930,1,14,6,20
1414729534,1,14,6,20
1414730139,1,14,6,20
1414730743,1,14,6,20
1414731347,1,14,6,20
1414731952,1,14,6,20
1414732555,1,14,6,20
1414733159,1,14,6,20
1414733764,1,14,6,20
1414734368,1,14,6,20
1414734972,1,14,6,20
1414735343,1,14,6,20
1414735373,1,13,7,20
1414735977,1,13,7,20
1414736204,1,13,7,20
1414736227,1,12,8,20
1414736831,1,12,8,20
1414737285,1,11,9,20
1414737343,1,10,10,20
1414737866,1,11,9,20
1414738009,1,11,9,20
1414738011,1,10,10,20
1414738156,1,9,11,20
1414738781,1,9,11,20
1414738805,1,8,12,20
1414739329,1,8,12,20
1414739371,1,7,13,20
1414739686,1,7,13,20
1414739719,1,6,14,20
1414739786,1,6,14,20
1414739813,1,5,15,20
1414740211,1,5,15,20
1414740283,1,3,17,20
1414740335,1,3,17,20
1414740365,1,2,18,20
1414740452,1,2,18,20
1414740475,1,1,19,20
1414741079,1,1,19,20
1414741251,1,0,20,20
1414741855,1,0,20,20
1414742460,1,0,20,20
1414743064,1,0,20,20
1414743745,1,0,20,20
1414744611,1,0,20,20
1414744612,1,0,20,20
1414745216,1,0,20,20
1414745820,1,0,20,20
1414746424,1,0,20,20
1414747029,1,0,20,20
1414747508,1,1,19,20
1414748112,1,1,19,20
1414748662,1,0,20,20
1414748733,1,1,19,20
1414748763,1,0,20,20
1414749367,1,0,20,20
1414749972,1,0,20,20
1414750577,1,0,20,20
1414751182,1,0,20,20
1414751455,1,1,19,20
1414751607,1,0,20,20
1414752211,1,0,20,20
1414752266,1,1,19,20
1414752870,1,1,19,20
1414753476,1,1,19,20
1414754079,1,1,19,20
1414754376,1,0,20,20
1414754675,1,1,19,20
1414755279,1,1,19,20
1414755396,1,0,20,20
1414756000,1,0,20,20
1414756611,1,0,20,20
1414757216,1,0,20,20
1414757569,1,1,19,20
1414757949,1,2,18,20
1414758026,1,2,18,20
1414758058,1,1,19,20
1414758662,1,1,19,20
1414758817,1,2,18,20
1414759421,1,2,18,20
1414759598,1,3,17,20
1414760202,1,3,17,20
1414760743,1,3,17,20
1414760773,1,2,18,20
1414761092,1,3,17,20
1414761290,1,3,17,20
1414761292,1,4,16,20
1414761416,1,5,15,20
1414761583,1,6,14,20
1414761610,1,8,12,20
1414761947,1,8,12,20
1414762308,1,9,11,20
1414762349,1,10,10,20
1414762455,1,11,9,20
1414763001,1,10,10,20
1414763194,1,12,8,20
1414763425,1,12,8,20
1414763453,1,11,9,20
1414763806,1,12,8,20
1414763860,1,13,7,20
1414764464,1,13,7,20
1414764889,1,13,7,20
1414764892,1,14,6,20
1414765496,1,14,6,20
1414765653,1,15,5,20
1414765962,1,15,5,20
1414766027,1,14,6,20
1414766330,1,14,6,20
1414766332,1,15,5,20
1414766573,1,16,4,20
1414766859,1,15,5,20
1414766929,1,16,4,20
1414767533,1,16,4,20
1414767769,1,16,4,20
1414767772,1,15,5,20
1414768376,1,15,5,20
1414768980,1,15,5,20
1414769197,1,14,6,20
1414769354,1,14,6,20
1414769406,1,13,7,20
1414769689,1,12,8,20
1414770159,1,13,7,20
1414770224,1,13,7,20
1414770269,1,12,8,20
1414770465,1,13,7,20
1414771069,1,13,7,20
1414771647,1,12,8,20
1414772148,1,12,8,20
1414772173,1,11,9,20
1414772808,1,12,8,20
1414773412,1,12,8,20
1414774039,1,13,7,20
1414774113,1,13,7,20
1414774142,1,12,8,20
1414774747,1,12,8,20
1414775025,1,11,9,20
1414775064,1,10,10,20
1414775112,1,9,11,20
1414775269,1,9,11,20
1414775310,1,8,12,20
1414775430,1,9,11,20
1414776034,1,9,11,20
1414776409,1,8,12,20
1414776523,1,7,13,20
1414777128,1,7,13,20
1414777540,1,6,14,20
1414777962,1,7,13,20
1414778566,1,7,13,20
1414778834,1,8,12,20
1414779459,1,7,13,20
1414779481,1,6,14,20
1414779584,1,6,14,20
1414779667,1,7,13,20
1414780271,1,7,13,20
1414780348,1,8,12,20
1414780483,1,9,11,20
1414781088,1,9,11,20
1414781190,1,8,12,20
1414781390,1,7,13,20
1414781437,1,7,13,20
