# timestamp,status,avbikes,avstamps,totstamps
1411900073,1,6,14,20
1411900113,1,5,15,20
1411900717,1,5,15,20
1411901321,1,5,15,20
1411901926,1,5,15,20
1411902531,1,5,15,20
1411902572,1,6,14,20
1411903177,1,6,14,20
1411903782,1,6,14,20
1411904126,1,7,13,20
1411904503,1,6,14,20
1411904746,1,5,15,20
1411904837,1,6,14,20
1411905443,1,6,14,20
1411905602,1,5,15,20
1411906206,1,5,15,20
1411906812,1,5,15,20
1411907417,1,5,15,20
1411907512,1,5,15,20
1411907533,1,4,16,20
1411908137,1,4,16,20
1411908742,1,4,16,20
1411909347,1,4,16,20
1411909947,1,3,17,20
1411910551,1,3,17,20
1411911155,1,3,17,20
1411911760,1,3,17,20
1411912365,1,3,17,20
1411912663,1,3,17,20
1411912705,1,3,17,20
1411912765,1,3,17,20
1411913068,1,3,17,20
1411913672,1,3,17,20
1411914277,1,3,17,20
1411914882,1,3,17,20
1411915431,1,3,17,20
1411915465,1,2,18,20
1411916070,1,2,18,20
1411916167,1,2,18,20
1411916771,1,2,18,20
1411917375,1,2,18,20
1411917594,1,1,19,20
1411918198,1,1,19,20
1411918836,1,1,19,20
1411918970,1,1,19,20
1411919574,1,1,19,20
1411920180,1,1,19,20
1411920784,1,1,19,20
1411921389,1,1,19,20
1411922023,1,2,18,20
1411922627,1,2,18,20
1411922921,1,3,17,20
1411923002,1,3,17,20
1411923004,1,4,16,20
1411923458,1,3,17,20
1411923632,1,3,17,20
1411923691,1,3,17,20
1411923771,1,2,18,20
1411924375,1,2,18,20
1411924856,1,2,18,20
1411924889,1,1,19,20
1411925493,1,1,19,20
1411926002,1,1,19,20
1411926458,1,2,18,20
1411927062,1,2,18,20
1411927370,1,1,19,20
1411927438,1,1,19,20
1411928006,1,2,18,20
1411928139,1,3,17,20
1411928743,1,3,17,20
1411929347,1,3,17,20
1411929550,1,4,16,20
1411930154,1,4,16,20
1411930271,1,5,15,20
1411930364,1,6,14,20
1411930850,1,6,14,20
1411930892,1,5,15,20
1411931401,1,6,14,20
1411931447,1,6,14,20
1411931520,1,6,14,20
1411931569,1,5,15,20
1411931599,1,6,14,20
1411931668,1,6,14,20
1411931742,1,6,14,20
1411931780,1,5,15,20
1411932384,1,5,15,20
1411932716,1,6,14,20
1411932795,1,7,13,20
1411933399,1,7,13,20
1411934003,1,7,13,20
1411934057,1,8,12,20
1411934661,1,8,12,20
1411935265,1,8,12,20
1411935870,1,8,12,20
1411936474,1,8,12,20
1411937079,1,8,12,20
1411937683,1,8,12,20
1411938288,1,8,12,20
1411938892,1,8,12,20
1411939496,1,8,12,20
1411939789,1,9,11,20
1411940394,1,9,11,20
1411940998,1,9,11,20
1411941603,1,9,11,20
1411942207,1,9,11,20
1411942812,1,9,11,20
1411943047,1,10,10,20
1411943651,1,10,10,20
1411944256,1,10,10,20
1411944860,1,10,10,20
1411945465,1,10,10,20
1411945742,1,11,9,20
1411946346,1,11,9,20
1411946951,1,11,9,20
1411947251,1,12,8,20
1411947855,1,12,8,20
1411948460,1,12,8,20
